transaction_amount,transaction_hour,merchant_risk_score,geo_distance_km,device_change_score,account_age_days,failed_login_attempts_24h,velocity_1h,velocity_24h,beneficiary_age_hours,cash_ratio_30d,international_flag,card_present_flag,atm_distance_from_home_km,upi_collect_request_flag,kyc_mismatch_score,ip_risk_score,description_entropy,chargeback_history_count,network_graph_risk
96.15367276,9,0.36665381,3.219107402,0.099659173,638.78466,0,2,12,544.5674862,0.252916907,0,1,14.81785284,0,0,0.102711541,0.589823674,0,0.294432627
319.5171892,22,0.708884229,124.755327,0.193154157,704.8659565,0,4,7,386.5351053,0.301268265,1,1,140.6319331,0,0.062905274,0.640101208,0.446758098,2,0.163573011
34.8812827,11,0.274147991,95.61463334,0.147979268,817.0663721,1,3,6,607.2971116,0.082321622,0,1,8.459307915,0,0.143854919,0.350600057,0.327152519,0,0.113830785
619.0978676,10,1,722.8580451,0.656067813,894.7630727,0,10,23,1302.776828,0.255691123,1,0,3.131332342,0,0.125960488,0.782069921,0.231899096,2,0.465706428
183.878975,8,0.870698393,148.6385462,0.650397219,651.6059385,0,10,20,628.9260837,0.338651232,0,0,13.55880518,0,0.09360018,0.880153992,0.46207961,4,0.476137929
103.1472642,11,0.237274956,7.94627636,0.166259913,289.510891,1,3,6,1303.878673,0.126759529,0,1,8.651332057,0,0.111564152,0.158551392,0.330553761,0,0.112629103
42.22943668,16,0.169409458,46.25510217,0,584.3875629,0,3,6,1863.903455,0.231771495,0,1,6.357503441,0,0.120222673,0.326413904,0.284737199,0,0.335478613
1646.047064,12,0.616995891,740.267898,0.557783057,915.1839361,1,13,23,313.942857,0.19979565,1,0,17.82680511,0,0.109439601,0.813762003,0.531825227,3,0.294430036
92.94204648,17,0.302794087,23.15107601,0.287277765,544.1216263,1,1,11,522.9342965,0.136646028,0,1,20.7373033,0,0.144113782,0.141586195,0.240284005,0,0.145664109
127.0617784,8,0.271009143,11.79410014,0.092825253,906.3820951,2,2,4,960.9934628,0.162630767,0,1,11.93925745,0,0.096247836,0.153773474,0.489878537,0,0.221535313
78.05103313,7,0.267312122,75.72287284,0.866187327,127.73322,2,7,6,11.76420506,0.062594712,0,0,21.84106492,0,0.52972626,0.748943696,0.444554205,0,0.852346572
172.1132782,10,0.155322022,6.0848518,0.088834332,1155.909717,0,2,8,464.8132474,0.257277266,0,0,2.883390712,0,0.119978223,0.227138896,0.431225602,0,0.165875811
33.15157161,19,0.27653711,17.93821958,0.118586438,664.3254798,1,2,6,320.3722193,0.077099173,0,0,1.594641976,0,0.148172672,0.208506692,0.170477643,0,0.163053998
666.6989994,20,0.877286654,310.1414518,0.086723328,502.443889,0,4,32,1151.837868,0.193835359,1,0,17.84564361,0,0.097012088,0.654974194,0.686164388,0,0.699636622
124.1233104,22,0.273820361,9.461916261,0.102524486,886.6547727,1,3,6,790.4109706,0.137176867,0,1,22.5103951,0,0.021142948,0.134403581,0.317155327,1,0.155362864
640.4732347,22,0.81675964,594.8694428,0.721531858,1057.728916,1,9,19,1699.96944,0.194048885,1,0,39.33311065,0,0,0.798846498,0.370143552,3,0.638152788
330.3890792,21,0.267615782,37.91007562,0.847771477,79.45267856,3,13,8,12.22989198,0.246916592,0,1,6.262765009,0,0.77183754,0.889987339,0.180405513,0,0.684900262
82.87790715,18,0.507592155,5.503880455,0.807463837,56.04478927,4,10,9,11.41467389,0.190663489,0,0,19.41391905,1,0.856773006,0.526427078,0.459097314,0,0.460184999
53.22988174,7,0.295618089,17.22806146,0.153747756,1519.057923,0,3,8,470.4921605,0.173120646,1,1,10.22874712,0,0.121253132,0.159397424,0.266066535,0,0.130980697
